"","x"
"752","Tmem33"
"753","Bend4"
"754","Gm26756"
"755","Tec"
"756","Usp46"
"757","Fip1l1"
"758","Tmem165"
"759","Srp72"
"760","Hopx"
"761","Rest"
"762","Polr2b"
"763","Stap1"
"764","Uba6"
"765","Utp3"
"766","Grsf1"
"767","Ankrd17"
"768","Pf4"
"769","Cxcl3"
"770","Cxcl1"
"771","Cxcl2"
"772","Mrpl1"
"773","Anxa3"
"774","Rasgef1b"
"775","Hnrnpd"
"776","Lin54"
"777","Plac8"
"778","Coq2"
"779","Mrps18c"
"780","Gpat3"
"781","Spp1"
"782","BC005561"
"783","Abcg3"
"784","Zfp326"
"785","Zfp644"
"786","Evi5"
"787","Rpl5"
"788","Dipk1a"
"789","Mtf2"
"790","Tmed5"
"791","Atp5k"
"792","Golga3"
"793","Tfip11"
"794","Srrd"
"795","Ssh1"
"796","Kctd10"
"797","Oasl2"
"798","Gm13822"
"799","Oasl1"
"800","Mlec"
"801","Rnf10"
"802","Dynll1"
"803","Rplp0"
"804","Gcn1"
"805","Prkab1"
"806","Vsig10"
"807","Tesc"
"808","Slc8b1"
"809","Oas2"
"810","Oas3"
"811","Oas1c"
"812","Oas1a"
"813","Ptpn11"
"814","Rpl6"
"815","Trafd1"
"816","Aldh2"
"817","Acad12"
"818","Atxn2"
"819","Myl2"
"820","Ccdc63"
"821","Hvcn1"
"822","Gpn3"
"823","Gm42829"
"824","Atp2a2"
"825","P2rx4"
"826","Camkk2"
"827","Anapc5"
"828","Psmd9"
"829","Mlxip"
"830","Gm43813"
"831","Hcar2"
"832","Denr"
"833","Hip1r"
"834","Vps37b"
"835","Arl6ip4"
"836","Sbno1"
"837","Kmt5a"
"838","Rilpl2"
"839","Atp6v0a2"
"840","Slc15a4"
"841","Ran"
"842","Mrps17"
"843","Cct6a"
"844","Asl"
"845","Crcp"
"846","Rabgef1"
"847","Ncf1"
"848","Rfc2"
"849","Bcl7b"
"850","Baz1b"
"851","Pom121"
"852","Rhbdd2"
"853","Ssc4d"
"854","Prkrip1"
"855","Sh2b2"
"856","Cldn15"
"857","Znhit1"
"858","Srrt"
"859","Pop7"
"860","Mospd3"
"861","Gm36551"
"862","Lamtor4"
"863","6330418K02Rik"
"864","Sun1"
"865","3110082I17Rik"
"866","Zfand2a"
"867","Mafk"
"868","Chst12"
"869","Amz1"
"870","Fbxl18"
"871","Kdelr2"
"872","Lmtk2"
"873","Tecpr1"
"874","Trrap"
"875","Pdap1"
"876","Cpsf4"
"877","Zkscan14"
"878","Pomp"
"879","Samd9l"
"880","Gng11"
"881","Bet1"
"882","Pon2"
"883","Sem1"
"884","Asns"
"885","Rpa3"
"886","Glcci1"
"887","Ica1"
"888","Ndufa4"
"889","Phf14"
"890","Tes"
"891","Gm20186"
"892","Lsm8"
"893","Ing3"
"894","Ndufa5"
"895","Pot1a"
"896","Zfp800"
"897","Rbm28"
"898","Hilpda"
"899","Ahcyl2"
"900","Chchd3"
"901","Tmem140"
"902","Cyren"
"903","Cnot4"
"904","Ubn2"
"905","Fmc1"
"906","Hipk2"
"907","Adck2"
"908","Ndufb2"
"909","Mrps33"
"910","E330009J07Rik"
"911","Ssbp1"
"912","Clec5a"
"913","Zfp467"
"914","Gimap9"
"915","Malsu1"
"916","Tra2a"
"917","Ccdc126"
"918","Mpp6"
"919","Cycs"
"920","Cbx3"
"921","Hibadh"
"922","Nod1"
"923","Ggct"
"924","Lsm5"
"925","Nt5c3"
"926","Herc6"
"927","Tigd2"
"928","Serbp1"
"929","Rpia"
"930","Kdm3a"
"931","Immt"
"932","Polr1a"
"933","St3gal5"
"934","Sftpb"
"935","Usp39"
"936","0610030E20Rik"
"937","Vamp5"
"938","Mat2a"
"939","Capg"
"940","Tgoln1"
"941","Tmsb10"
"942","Suclg1"
"943","Mrpl19"
"944","Pole4"
"945","Hk2"
"946","Gm38843"
"947","Sema4f"
"948","Mrpl53"
"949","Ino80b"
"950","Mthfd2"
"951","Tet3"
"952","Stambp"
"953","Tex261"
"954","Snrpg"
"955","Pcyox1"
"956","Tia1"
"957","C87436"
"958","Asprv1"
"959","Aak1"
"960","Nfu1"
"961","Gfpt1"
"962","Rab43"
"963","Isy1"
"964","Hmces"
"965","Rab7"
"966","Rpn1"
"967","Mgll"
"968","Chst13"
"969","Slc41a3"
"970","Xpc"
"971","Ccdc174"
"972","Nr2c2"
"973","Mitf"
"974","Foxp1"
"975","Eif4e3"
"976","Gpr27"
"977","Prok2"
"978","Trnt1"
"979","Crbn"
"980","Bhlhe40"
"981","Gt(ROSA)26Sor"
"982","Setd5"
"983","Brpf1"
"984","Camk1"
"985","Irak2"
"986","Tatdn2"
"987","Sec13"
"988","Tmem40"
"989","Rpl32"
"990","March8"
"991","Bms1"
"992","Wnk1"
"993","Bcl2l13"
"994","Usp18"
"995","Slc6a13"
"996","M6pr"
"997","Clec4a3"
"998","Clec4a2"
"999","Clec4n"
"1000","Clec4d"
"1001","Clec4e"
"1002","C1rl"
"1003","Phb2"
"1004","Tpi1"
"1005","Usp5"
"1006","Gapdh"
"1007","Mrpl51"
"1008","Scnn1a"
"1009","Ccnd2"
"1010","Cd69"
"1011","Clec12a"
"1012","Olr1"
"1013","Smim10l1"
"1014","Borcs5"
"1015","Dusp16"
"1016","2810454H06Rik"
"1017","Hebp1"
"1018","Fam234b"
"1019","Plbd1"
"1020","Arhgdib"
"1021","Cmas"
"1022","C2cd5"
"1023","Etnk1"
"1024","Lrmp"
"1025","Casc1"
"1026","Ints13"
"1027","Med21"
"1028","Mrps35"
"1029","Klhl42"
"1030","Etfbkmt"
"1031","Amn1"
"1032","Resf1"
"1033","Tarm1"
"1034","Leng1"
"1035","Lair1"
"1036","Tnnt1"
"1037","Rpl28"
"1038","Zfp524"
"1039","Zfp865"
"1040","Rps5"
"1041","Selenow"
"1042","Nop53"
"1043","Ccdc9"
"1044","Zc3h4"
"1045","Tmem160"
"1046","Ap2s1"
"1047","Fkrp"
"1048","Ptgir"
"1049","Pglyrp1"
"1050","Irf2bp1"
"1051","Snrpd2"
"1052","Eml2"
"1053","Opa3"
"1054","Fosb"
"1055","Trappc6a"
"1056","Clasrp"
"1057","Relb"
"1058","Apoc2"
"1059","Apoe"
"1060","Bcl3"
"1061","Gm16174"
"1062","Smg9"
"1063","Plaur"
"1064","Ethe1"
"1065","Cd177"
"1066","Ceacam10"
"1067","Rps19"
"1068","Pou2f2"
"1069","Ceacam1"
"1070","Exosc5"
"1071","Coq8b"
"1072","Blvrb"
"1073","Eid2b"
"1074","Med29"
"1075","Paf1"
"1076","Nfkbib"
"1077","Rinl"
"1078","Ech1"
"1079","Lgals4"
"1080","Eif3k"
"1081","Spint2"
"1082","Capns1"
"1083","Tbcb"
"1084","Polr2i"
"1085","Sdhaf1"
"1086","Nfkbid"
"1087","Lin37"
"1088","U2af1l4"
"1089","Dmkn"
"1090","Ffar2"
"1091","Pdcd2l"
"1092","Gpi1"
"1093","4931406P16Rik"
"1094","Cebpa"
"1095","Pdcd5"
"1096","Pop4"
"1097","Gm37494"
"1098","AI987944"
"1099","Zfp141"
"1100","Siglecf"
"1101","Siglecg"
"1102","Etfb"
"1103","Vsig10l"
"1104","Emc10"
"1105","Napsa"
"1106","Akt1s1"
"1107","Pnkp"
"1108","Med25"
"1109","Rps11"
"1110","Pih1d1"
"1111","Gys1"
"1112","Ppp1r15a"
"1113","Rasip1"
"1114","Rpl18"
"1115","Emp3"
"1116","Gtf2h1"
"1117","Ldha"
"1118","Spty2d1"
"1119","Gm32031"
"1120","Mrgpra2a"
"1121","Mrgpra2b"
"1122","Svip"
"1123","Cyfip1"
"1124","Herc2"
"1125","Ube3a"
"1126","Mphosph10"
"1127","Mcee"
"1128","Tm2d3"
"1129","Selenos"
"1130","Lins1"
"1131","Arrdc4"
"1132","Gm44689"
"1133","Chd2"
"1134","Slco3a1"
"1135","Klhl25"
"1136","Isg20"
"1137","Pde8a"
"1138","Rps17"
"1139","Whamm"
"1140","Tlnrd1"
"1141","Ctsc"
"1142","Hikeshi"
"1143","E230029C05Rik"
"1144","4632427E13Rik"
"1145","Prcp"
"1146","Nars2"
"1147","Ndufc2"
"1148","Rsf1"
"1149","Clns1a"
"1150","Pak1"
"1151","Acer3"
"1152","Emsy"
"1153","Dgat2"
"1154","Rps3"
"1155","Spcs2"
"1156","Mrpl48"
"1157","Atg16l2"
"1158","Stard10"
"1159","Pde2a"
"1160","Il18bp"
"1161","Rnf121"
"1162","Nup98"
"1163","Stim1"
"1164","Hbb-bs"
"1165","Trim30a"
"1166","Eif3f"
"1167","Lmo1"
"1168","Tmem41b"
"1169","Swap70"
"1170","Rnf141"
"1171","Ctr9"
"1172","1110004F10Rik"
"1173","Nucb2"
"1174","Rps15a"
"1175","Coq7"
"1176","Knop1"
"1177","Mettl9"
"1178","Nsmce1"
"1179","Il4ra"
"1180","Gtf3c1"
"1181","D430042O09Rik"
"1182","Eif3c"
"1183","Bola2"
"1184","Gdpd3"
"1185","Aldoa"
"1186","Spn"
"1187","Sept1"
"1188","Dctpp1"
"1189","Srcap"
"1190","Ccdc189"
"1191","Zfp646"
"1192","Pycard"
"1193","Itgam"
"1194","Itgax"
"1195","Ate1"
"1196","Ikzf5"
"1197","Oat"
"1198","Fam53b"
"1199","Abraxas2"
"1200","Zranb1"
"1201","Ctbp2"
"1202","5830432E09Rik"
"1203","6430531B16Rik"
"1204","Echs1"
"1205","Ifitm5"
"1206","Ifitm2"
"1207","Ifitm1"
"1208","Ifitm3"
"1209","Ifitm6"
"1210","Irf7"
"1211","Cd151"
"1212","Ap2a2"
"1213","Ifitm10"
"1214","Tnni2"
"1215","Ascl2"
"1216","Tspan32"
"1217","Cd81"
"1218","Nap1l4"
"1219","E230032D23Rik"
"1220","Tnfrsf23"
"1221","Ppfia1"
"1222","Retn"
"1223","Gm39121"
"1224","Arglu1"
"1225","Tnfsf13b"
"1226","Irs2"
"1227","Rab20"
"1228","E230013L22Rik"
"1229","Gm33326"
"1230","Tmco3"
"1231","Tfdp1"
"1232","Upf3a"
"1233","Erich1"
"1234","Agpat5"
"1235","Gpat4"
"1236","Plekha2"
"1237","5830408C22Rik"
"1238","Letm2"
"1239","D830025C05Rik"
"1240","Ddhd2"
"1241","Rnf170"
"1242","Thap1"
"1243","Zfp703"
"1244","Plpbp"
"1245","Nrg1"
"1246","Wrn"
"1247","Tex15"
"1248","Ppp2cb"
"1249","Ubxn8"
"1250","Gsr"
"1251","Gtf2e2"
"1252","Dctn6"
"1253","Ppp1r3b"
"1254","Cnot7"
"1255","Vps37a"
"1256","B430010I23Rik"
"1257","Pcm1"
"1258","Ufsp2"
"1259","Cfap97"
"1260","Acsl1"
"1261","Ing2"
"1262","Spcs3"
"1263","Scrg1"
"1264","Sap30"
"1265","Hmgb2"
"1266","Galnt7"
"1267","Hpf1"
"1268","Clcn3"
"1269","Ddx60"
"1270","Msmo1"
"1271","Lpl"
"1272","Zfp868"
"1273","Ndufa13"
"1274","Borcs8"
"1275","Rex1bd"
"1276","Ssbp4"
"1277","Lsm4"
"1278","Jund"
"1279","Ifi30"
"1280","Haus8"
"1281","Babam1"
"1282","Bst2"
"1283","Pgls"
"1284","Colgalt1"
"1285","Olfr373"
"1286","Eps15l1"
"1287","Tmem38a"
"1288","Tom1"
"1289","Hmox1"
"1290","Prmt9"
"1291","Ednra"
"1292","Lsm6"
"1293","Smarca5"
"1294","Usp38"
"1295","Zfp330"
"1296","Elmod2"
"1297","Ndufb7"
"1298","Tecr"
"1299","Gipc1"
"1300","Ddx39"
"1301","Gm26532"
"1302","Zswim4"
"1303","Nfix"
"1304","Lyl1"
"1305","Junb"
"1306","Itfg1"
"1307","Phkb"
"1308","Tent4b"
"1309","Adcy7"
"1310","Brd7"
"1311","Chd9"
"1312","Aktip"
"1313","Ces1d"
"1314","Mt1"
