"seed","total_edges","network","AUPRC_act","AUPRC_inh"
5236,36,2,0.549272486772487,0.672588603023386
5236,39,1,0.62984693877551,0.825720113220113
5236,39,2,0.585768958439766,0.862874779541446
5236,42,1,0.419471153846154,0.56281179138322
5236,42,2,0.495429966858538,0.512498436106369
6072,27,1,0.652777777777778,0.735499123891981
6072,27,2,0.477976190476191,0.736070344129555
6072,30,1,0.537698412698413,0.712875306954254
6072,30,2,0.536274509803922,0.590476190476191
6072,33,1,0.389814814814815,0.664306328592043
6072,33,2,0.435557644110276,0.693784637262898
6072,36,1,0.418650793650794,0.575754985754986
6072,36,2,0.49702380952381,0.559793447293447
6072,39,1,0.4114044168392,0.557423362161924
6072,39,2,0.435203222703223,0.519848751466399
6072,42,1,0.36415404040404,0.471000193180721
6072,42,2,0.388452380952381,0.416244665668638
6534,27,1,0.566666666666667,0.67041292041292
6534,27,2,0.712072649572649,0.700529100529101
6534,30,1,0.540143557422969,0.678566335625159
6534,30,2,0.60187074829932,0.733210032264654
6534,33,1,0.589955357142857,0.521520146520146
6534,33,2,0.519088468720822,0.67652665317139
6534,36,1,0.444286616161616,0.57876726448155
6534,36,2,0.530050505050505,0.847159090909091
6534,39,1,0.426666666666667,0.468494272540325
6534,39,2,0.408090279285931,0.792848191908342
6534,42,1,0.412723214285714,0.501322751322751
6534,42,2,0.360464015151515,0.756916099773243
